date,close,volume,Name
1/27/15,167.5,1303739,RL
1/28/15,166.2,922767,RL
1/29/15,170.03,764202,RL
1/30/15,166.89,959543,RL
2/2/15,167.8,1068051,RL
2/3/15,170.83,1181492,RL
2/4/15,139.71,10498571,RL
2/5/15,141.77,4375060,RL
2/6/15,138.87,2437839,RL
2/9/15,136.09,1949722,RL
2/10/15,135.11,1805151,RL
2/11/15,135.17,1852115,RL
2/12/15,135.8,1341561,RL
2/13/15,135.2,1364659,RL
2/17/15,136.34,1206404,RL
2/18/15,136.42,1025650,RL
2/19/15,136.97,1175061,RL
2/20/15,139.3,1518032,RL
2/23/15,138.67,1094013,RL
2/24/15,138.09,720664,RL
2/25/15,138.44,983743,RL
2/26/15,137.48,758265,RL
2/27/15,137.41,813939,RL
3/2/15,138.06,775550,RL
3/3/15,135.93,901388,RL
3/4/15,134.94,1138820,RL
3/5/15,134.29,634526,RL
3/6/15,131.93,1125378,RL
3/9/15,132.86,975500,RL
3/10/15,130.46,1165002,RL
3/11/15,127.66,1248371,RL
3/12/15,130.48,1049534,RL
3/13/15,130.01,752530,RL
3/16/15,129.7,864419,RL
3/17/15,129.1,779791,RL
3/18/15,132.3,1020466,RL
3/19/15,132.64,890751,RL
3/20/15,133.18,1187555,RL
3/23/15,133.87,538735,RL
3/24/15,133.73,647882,RL
3/25/15,132.86,982567,RL
3/26/15,131.97,567090,RL
3/27/15,131.22,561984,RL
3/30/15,132.27,457292,RL
3/31/15,131.5,623291,RL
4/1/15,132.7,1026852,RL
4/2/15,134.67,1398034,RL
4/6/15,137.82,1807792,RL
4/7/15,139.19,1541969,RL
4/8/15,139.44,919783,RL
4/9/15,140.26,880823,RL
4/10/15,138.12,917649,RL
4/13/15,137.53,662521,RL
4/14/15,137.09,506059,RL
4/15/15,137.57,629025,RL
4/16/15,137.32,686857,RL
4/17/15,133.78,782219,RL
4/20/15,136.95,710834,RL
4/21/15,135.95,759782,RL
4/22/15,136.39,615702,RL
4/23/15,137.37,585191,RL
4/24/15,136.47,475152,RL
4/27/15,135.7,453987,RL
4/28/15,134.86,523618,RL
4/29/15,134.07,855429,RL
4/30/15,133.41,834370,RL
5/1/15,136.12,738257,RL
5/4/15,135.95,685993,RL
5/5/15,135.4,621959,RL
5/6/15,133.94,602698,RL
5/7/15,134.08,621788,RL
5/8/15,134.39,746743,RL
5/11/15,134.64,1062682,RL
5/12/15,133.2,1824490,RL
5/13/15,129.18,3250781,RL
5/14/15,131.69,1625787,RL
5/15/15,133.11,919891,RL
5/18/15,132.53,753755,RL
5/19/15,130.7,894537,RL
5/20/15,131.39,1055661,RL
5/21/15,131.53,879713,RL
5/22/15,133.03,678156,RL
5/26/15,128.44,1189615,RL
5/27/15,128.26,765288,RL
5/28/15,131.85,1050845,RL
5/29/15,130.4,790351,RL
6/1/15,131.6,755145,RL
6/2/15,135.37,1844509,RL
6/3/15,136.86,1180957,RL
6/4/15,137.08,963138,RL
6/5/15,137.1,887807,RL
6/8/15,136.43,584140,RL
6/9/15,136.31,684014,RL
6/10/15,135.58,605751,RL
6/11/15,135.77,518443,RL
6/12/15,135.25,357974,RL
6/15/15,134.05,506253,RL
6/16/15,134.37,716215,RL
6/17/15,134.71,721627,RL
6/18/15,139.5,1230534,RL
6/19/15,140.24,1148687,RL
6/22/15,139.26,593938,RL
6/23/15,139.56,571231,RL
6/24/15,137.65,974594,RL
6/25/15,136.17,625506,RL
6/26/15,136.86,1357625,RL
6/29/15,133.83,836123,RL
6/30/15,132.36,599507,RL
7/1/15,133.26,858893,RL
7/2/15,134.76,639384,RL
7/6/15,132.62,674395,RL
7/7/15,133.79,618793,RL
7/8/15,129.54,725904,RL
7/9/15,128.99,621674,RL
7/10/15,129.7,791939,RL
7/13/15,134.27,819523,RL
7/14/15,135.28,541092,RL
7/15/15,132.59,625033,RL
7/16/15,132.99,500627,RL
7/17/15,130.76,427921,RL
7/20/15,130.51,691339,RL
7/21/15,130.27,448733,RL
7/22/15,130.03,489030,RL
7/23/15,128.82,389492,RL
7/24/15,126.85,573030,RL
7/27/15,125,792497,RL
7/28/15,126.61,765873,RL
7/29/15,126.92,539336,RL
7/30/15,127.12,548610,RL
7/31/15,125.89,1194064,RL
8/3/15,123.29,2223750,RL
8/4/15,123.31,1489168,RL
8/5/15,121.5,2201513,RL
8/6/15,120.17,2291372,RL
8/7/15,120.2,1435659,RL
8/10/15,120.54,1349555,RL
8/11/15,119,1212937,RL
8/12/15,118,1111024,RL
8/13/15,117.29,905955,RL
8/14/15,118,1165135,RL
8/17/15,117.99,711466,RL
8/18/15,117.23,1018404,RL
8/19/15,115.72,1164683,RL
8/20/15,112.9,1456799,RL
8/21/15,110.64,1514672,RL
8/24/15,107.59,2295430,RL
8/25/15,105.02,1294332,RL
8/26/15,106.79,1349688,RL
8/27/15,109.18,1151249,RL
8/28/15,110.89,1019691,RL
8/31/15,111.19,1140564,RL
9/1/15,108.44,773206,RL
9/2/15,109.5,611254,RL
9/3/15,110.96,922503,RL
9/4/15,108.98,517445,RL
9/8/15,111.05,637810,RL
9/9/15,108.84,662906,RL
9/10/15,109.12,631604,RL
9/11/15,109.71,651619,RL
9/14/15,107.91,630508,RL
9/15/15,109.71,720024,RL
9/16/15,114.6,1249234,RL
9/17/15,113.95,1235137,RL
9/18/15,109.38,1021509,RL
9/21/15,111.51,1116128,RL
9/22/15,110.35,785413,RL
9/23/15,108.07,563376,RL
9/24/15,109.2,932589,RL
9/25/15,108.32,746651,RL
9/28/15,104.88,764157,RL
9/29/15,104.05,717677,RL
9/30/15,118.16,4770491,RL
10/1/15,116.56,1562704,RL
10/2/15,117.36,1106239,RL
10/5/15,119.28,915461,RL
10/6/15,119.99,990551,RL
10/7/15,118.62,1102004,RL
10/8/15,121.25,939589,RL
10/9/15,120.54,751750,RL
10/12/15,120.58,596527,RL
10/13/15,118.73,634088,RL
10/14/15,118.73,744995,RL
10/15/15,117.29,827768,RL
10/16/15,116.96,735851,RL
10/19/15,117.21,914854,RL
10/20/15,117.75,971476,RL
10/21/15,115.81,931596,RL
10/22/15,116.68,404131,RL
10/23/15,113.69,2025329,RL
10/26/15,113.61,653089,RL
10/27/15,112.18,917880,RL
10/28/15,112.43,861875,RL
10/29/15,110.33,1222423,RL
10/30/15,110.77,1008809,RL
11/2/15,110.85,573776,RL
11/3/15,114.17,1186881,RL
11/4/15,113.57,1414085,RL
11/5/15,130.5,4720507,RL
11/6/15,137.24,2392718,RL
11/9/15,134.34,1541740,RL
11/10/15,133.2,1046223,RL
11/11/15,124.96,2035090,RL
11/12/15,122.13,1354174,RL
11/13/15,119.72,2093154,RL
11/16/15,120.64,1013927,RL
11/17/15,119.32,1431691,RL
11/18/15,119.39,1127375,RL
11/19/15,122.71,1405100,RL
11/20/15,123.71,1077752,RL
11/23/15,126.2,902531,RL
11/24/15,124.99,1149459,RL
11/25/15,125.61,605988,RL
11/27/15,123.99,405502,RL
11/30/15,124.21,1127442,RL
12/1/15,124.83,733461,RL
12/2/15,125.72,995470,RL
12/3/15,122.17,1587725,RL
12/4/15,120.84,1611535,RL
12/7/15,119.59,1277525,RL
12/8/15,118.67,1833636,RL
12/9/15,118.19,868014,RL
12/10/15,115.85,688957,RL
12/11/15,112.98,1063699,RL
12/14/15,113.04,880798,RL
12/15/15,114.54,773808,RL
12/16/15,115.86,811389,RL
12/17/15,112.75,1206564,RL
12/18/15,111.66,2013004,RL
12/21/15,110.61,777927,RL
12/22/15,111.81,1086392,RL
12/23/15,114.51,779843,RL
12/24/15,113.38,360051,RL
12/28/15,112.39,437748,RL
12/29/15,113.98,447155,RL
12/30/15,112.66,663479,RL
12/31/15,111.48,508586,RL
1/4/16,111.56,1359130,RL
1/5/16,110.88,1051254,RL
1/6/16,108.1,1417004,RL
1/7/16,104.56,1162194,RL
1/8/16,103.59,1066639,RL
1/11/16,102.04,1341323,RL
1/12/16,103.96,1071671,RL
1/13/16,100.78,1045918,RL
1/14/16,101.04,1140162,RL
1/15/16,100.68,1420758,RL
1/19/16,101.38,1332517,RL
1/20/16,103.4,2269495,RL
1/21/16,105.94,1642028,RL
1/22/16,106.97,1042956,RL
1/25/16,106.53,904175,RL
1/26/16,109.12,963328,RL
1/27/16,108.46,1087464,RL
1/28/16,109.63,1050447,RL
1/29/16,112.5,1421737,RL
2/1/16,112.33,1370318,RL
2/2/16,111.76,2034025,RL
2/3/16,115.56,2338662,RL
2/4/16,89.95,10823175,RL
2/5/16,87.25,4939955,RL
2/8/16,85.23,2826382,RL
2/9/16,83.7,2354792,RL
2/10/16,84.5,2512993,RL
2/11/16,83.18,1831211,RL
2/12/16,86.94,2491084,RL
2/16/16,88.33,1328327,RL
2/17/16,89.24,1552592,RL
2/18/16,88.83,731605,RL
2/19/16,88.28,830032,RL
2/22/16,91,1057725,RL
2/23/16,89.8,1102886,RL
2/24/16,89.96,1053205,RL
2/25/16,91.92,856170,RL
2/26/16,90.85,927130,RL
2/29/16,90.76,741663,RL
3/1/16,93.69,1065441,RL
3/2/16,94.57,643798,RL
3/3/16,95.77,1120755,RL
3/4/16,97.16,1132344,RL
3/7/16,98.7,1436658,RL
3/8/16,97.12,950595,RL
3/9/16,97.15,852101,RL
3/10/16,96.25,916636,RL
3/11/16,98.49,717992,RL
3/14/16,98.57,675261,RL
3/15/16,97.3,628600,RL
3/16/16,95.73,1178871,RL
3/17/16,97.11,928909,RL
3/18/16,98.12,1203465,RL
3/21/16,99.25,946265,RL
3/22/16,97.76,649955,RL
3/23/16,95.89,749430,RL
3/24/16,95.55,594418,RL
3/28/16,96.43,726925,RL
3/29/16,96.51,740238,RL
3/30/16,96.92,814667,RL
3/31/16,96.26,978307,RL
4/1/16,97.26,1085921,RL
4/4/16,93.8,1226669,RL
4/5/16,93.85,1015849,RL
4/6/16,96.48,1413036,RL
4/7/16,94.56,940260,RL
4/8/16,91.24,1386009,RL
4/11/16,90.37,889747,RL
4/12/16,91.08,1386932,RL
4/13/16,93.57,1176606,RL
4/14/16,92.55,900220,RL
4/15/16,94.47,1384750,RL
4/18/16,95.19,646488,RL
4/19/16,94.81,705547,RL
4/20/16,94.83,745987,RL
4/21/16,94.08,911536,RL
4/22/16,93.98,796929,RL
4/25/16,94.38,899262,RL
4/26/16,94.97,946057,RL
4/27/16,94.89,1207983,RL
4/28/16,94.01,959371,RL
4/29/16,93.21,825367,RL
5/2/16,95.23,597221,RL
5/3/16,94.53,763852,RL
5/4/16,93.05,604334,RL
5/5/16,91,914184,RL
5/6/16,90.11,1260340,RL
5/9/16,90.3,1701961,RL
5/10/16,89.35,1492060,RL
5/11/16,84.5,3681732,RL
5/12/16,86.88,5638517,RL
5/13/16,85.5,3066424,RL
5/16/16,86.5,2583391,RL
5/17/16,88.11,1591311,RL
5/18/16,89,1640156,RL
5/19/16,89.16,1435134,RL
5/20/16,91.63,1227638,RL
5/23/16,92.71,2055884,RL
5/24/16,93.39,1102811,RL
5/25/16,93.93,969441,RL
5/26/16,93.85,887211,RL
5/27/16,94.07,663263,RL
5/31/16,94.33,929318,RL
6/1/16,95.46,946782,RL
6/2/16,96.61,872387,RL
6/3/16,95.81,1647878,RL
6/6/16,96.33,1331607,RL
6/7/16,94.06,7916348,RL
6/8/16,93.74,2104428,RL
6/9/16,96.18,1969166,RL
6/10/16,95.8,1914922,RL
6/13/16,93.83,1434171,RL
6/14/16,91.36,1620846,RL
6/15/16,94.56,1960783,RL
6/16/16,94,970504,RL
6/17/16,95.65,1485843,RL
6/20/16,96.2,1150062,RL
6/21/16,97.17,1422347,RL
6/22/16,96.41,987696,RL
6/23/16,97.25,990781,RL
6/24/16,89.6,2758064,RL
6/27/16,87.38,2794837,RL
6/28/16,87.9,1362955,RL
6/29/16,88.73,1468842,RL
6/30/16,89.62,1192248,RL
7/1/16,90.08,1046982,RL
7/5/16,88.52,1064620,RL
